,pos,country_code,iso_code,country,year,gdlcode,region,iwi,edyr,edyr_fem,edyr_male,urban,wrk_agr,wrk_lnagr,wrk_unagr,tv,phone,electr,small_house,large_house,qual_floor,bad_floor,tap_water,bad_water,flush_toilet,bad_toilet,age09,age1019,age2029,age3039,age4049,age5059,age6069,age7079,age8089,age90hi,N,Nhh,sdr_id,sdr_name,sdr_level
74,76,SN,SEN,Senegal,2011,SENt,Total,51.7,3.2,2.6,4.0,44.9,,66.6,2.5,55.9,92.0,56.9,4.6,83.9,23.2,33.8,54.3,20.5,26.2,44.5,31.7,22.4,16.0,10.7,6.6,6.1,3.3,2.2,0.7,0.2,,,0,,
75,77,SN,SEN,Senegal,2011,SENtr,Rural,38.1,1.3,0.9,1.8,0.0,,52.1,0.5,31.9,87.5,30.7,2.9,86.2,9.9,50.5,33.4,33.0,11.1,64.5,36.3,22.6,13.3,9.3,6.1,5.7,3.4,2.4,0.8,0.2,,,0,,
76,78,SN,SEN,Senegal,2011,SENtu,Urban,68.8,5.0,4.3,5.8,100.0,,88.4,5.5,85.9,97.6,89.7,6.8,81.0,39.8,12.8,80.4,5.0,45.1,19.6,26.1,22.2,19.3,12.5,7.3,6.6,3.2,1.9,0.7,0.2,,,0,,
77,79,SN,SEN,Senegal,2011,SENr101,Dakar,75.1,5.6,5.0,6.4,97.1,,88.3,7.2,91.1,98.3,94.1,9.5,77.4,52.5,7.1,87.7,1.6,66.8,8.6,24.9,19.9,20.7,14.0,7.9,6.9,3.2,1.6,0.6,0.3,,,157804,Dakar,ADM1
78,80,SN,SEN,Senegal,2011,SENr102,Ziguinchor,45.0,6.0,5.0,7.0,50.8,,70.4,2.5,55.5,92.4,65.7,3.8,87.2,13.5,35.4,26.3,50.7,4.7,73.9,27.8,23.9,17.6,9.5,6.5,6.4,4.0,3.1,1.0,0.4,,,149996,Ziguinchor,ADM1
79,81,SN,SEN,Senegal,2011,SENr103,Diourbel,54.8,1.2,1.0,1.6,15.5,,81.1,0.7,56.7,96.7,58.6,2.3,89.0,22.7,27.2,68.4,6.8,25.5,32.5,34.8,22.2,14.7,9.3,6.6,5.8,3.0,2.7,0.7,0.2,,,156922,Diourbel,ADM1
80,82,SN,SEN,Senegal,2011,SENr104,Saint Louis,46.1,2.2,1.8,2.8,40.5,,53.2,1.1,49.7,89.2,51.0,5.3,77.6,12.5,38.7,43.6,18.8,18.8,49.4,32.7,23.1,14.9,10.2,6.7,5.6,3.2,2.5,0.8,0.2,,,0,,
81,83,SN,SEN,Senegal,2011,SENr105,Tambacounda,30.9,1.5,1.0,2.1,24.3,,60.3,0.6,23.4,79.9,23.4,4.3,83.6,4.0,59.8,9.0,48.3,1.4,88.4,36.5,22.0,14.2,9.7,6.4,5.5,3.3,1.8,0.5,0.1,,,150837,Tambacounda,ADM1
82,84,SN,SEN,Senegal,2011,SENr106,Kaolack,42.0,1.7,1.4,2.2,27.0,,56.1,1.3,33.0,88.1,34.9,2.6,87.9,13.1,42.5,45.8,18.5,15.5,65.9,36.2,23.1,13.6,9.4,6.1,5.6,3.2,2.0,0.7,0.1,,,155766,Kaolack,ADM1
83,85,SN,SEN,Senegal,2011,SENr107,Thies,55.6,3.1,2.5,3.8,47.0,,76.9,1.7,68.4,94.5,67.7,3.5,86.0,23.0,23.9,69.5,14.4,11.6,28.5,30.3,23.6,15.7,10.7,6.3,6.6,3.5,2.3,0.8,0.2,,,150684,Région de Thiès,ADM1
84,86,SN,SEN,Senegal,2011,SENr108,Louga,46.6,1.0,0.8,1.4,19.8,,54.1,0.8,46.9,94.2,40.6,2.6,88.4,16.0,53.1,59.0,5.0,20.6,52.3,32.7,23.5,14.7,10.5,5.8,6.2,3.4,2.2,0.8,0.2,,,154410,Louga,ADM1
85,87,SN,SEN,Senegal,2011,SENr109,Fatick,37.5,2.7,2.0,3.5,13.7,,49.1,1.1,32.6,90.7,34.2,2.2,84.2,11.6,55.5,24.5,38.5,15.5,63.4,35.9,23.7,12.5,8.8,5.8,5.6,3.8,2.7,0.9,0.1,,,156617,Fatick,ADM1
86,88,SN,SEN,Senegal,2011,SENr110,Kolda,30.1,2.2,1.5,3.2,18.5,,36.9,1.1,25.3,81.0,23.1,2.0,89.1,3.4,62.2,5.9,74.3,2.2,84.1,36.0,23.7,13.6,8.9,6.0,5.5,3.5,2.1,0.6,0.2,,,154821,Kolda,ADM1
